========================================================================
INDIA TECH INTERNSHIPS TRACKER — DETAILED SCRAPE LOG
Started:  2026-09-22 23:41:20 UTC
Finished: 2026-09-22 23:42:36 UTC (75.9s)
Result:   56 succeeded, 0 failed, 17 active India listings
========================================================================

[23:41:20] [INFO ] Starting scrape for 56 companies with 8 workers (dry_run=False, keyword=None)
[23:41:23] [INFO ] [OK]   Google                   ( 2.8s) ->   61 postings, 61 interns, 2 India
[23:41:24] [INFO ] [OK]   Salesforce               ( 3.1s) ->   46 postings, 17 interns, 0 India
[23:41:24] [INFO ] [OK]   Apple                    ( 3.4s) ->  120 postings, 81 interns, 0 India
[23:41:24] [INFO ] [OK]   Netflix                  ( 0.2s) ->    4 postings,  3 interns, 0 India
[23:41:25] [INFO ] [OK]   PhonePe                  ( 1.0s) ->   74 postings,  2 interns, 0 India
[23:41:25] [INFO ] [OK]   Meta                     ( 1.6s) ->  409 postings,  1 interns, 0 India
[23:41:25] [INFO ] [OK]   Razorpay                 ( 0.1s) ->   22 postings,  0 interns, 0 India
[23:41:26] [INFO ] [OK]   Freshworks               ( 1.4s) ->  125 postings,  0 interns, 0 India
[23:41:27] [INFO ] [OK]   Meesho                   ( 0.3s) ->   51 postings,  0 interns, 0 India
[23:41:27] [INFO ] [OK]   CRED                     ( 0.1s) ->   10 postings,  0 interns, 0 India
[23:41:27] [INFO ] [OK]   Groww                    ( 0.1s) ->    7 postings,  2 interns, 0 India
[23:41:27] [INFO ] [OK]   Swiggy                   ( 1.9s) ->  128 postings,  0 interns, 0 India
[23:41:27] [INFO ] [OK]   InMobi                   ( 0.1s) ->   66 postings,  1 interns, 0 India
[23:41:28] [INFO ] [OK]   Zeta                     ( 0.6s) ->   22 postings,  1 interns, 0 India
[23:41:28] [INFO ] [OK]   Zomato                   ( 0.5s) ->    3 postings,  1 interns, 0 India
[23:41:28] [INFO ] [OK]   Amazon                   ( 7.5s) ->  551 postings, 284 interns, 0 India
[23:41:28] [INFO ] [OK]   Cisco                    ( 0.3s) ->   39 postings, 30 interns, 0 India
[23:41:30] [INFO ] [OK]   Qualcomm                 ( 6.3s) ->   82 postings, 75 interns, 3 India
[23:41:30] [INFO ] [OK]   AMD                      ( 0.7s) ->   10 postings, 10 interns, 0 India
[23:41:31] [INFO ] [OK]   Dell Technologies        ( 3.2s) ->  175 postings, 16 interns, 0 India
[23:41:33] [INFO ] [OK]   Microsoft                (13.1s) ->  130 postings, 72 interns, 5 India
[23:41:35] [INFO ] [OK]   Adobe                    (14.8s) ->  216 postings,  8 interns, 0 India
[23:41:36] [INFO ] [OK]   HPE                      ( 4.7s) ->   65 postings, 56 interns, 1 India
[23:41:37] [INFO ] [OK]   Red Hat                  ( 7.1s) ->  110 postings, 32 interns, 1 India
[23:41:40] [INFO ] [OK]   Broadcom (VMware)        ( 6.2s) ->  103 postings,  0 interns, 0 India
[23:41:42] [INFO ] [OK]   ServiceNow               ( 6.1s) ->  672 postings,  2 interns, 0 India
[23:41:44] [INFO ] [OK]   NVIDIA                   (23.7s) ->  300 postings, 102 interns, 1 India
[23:41:46] [INFO ] [OK]   Oracle                   (25.5s) ->  999 postings, 17 interns, 0 India
